################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0730571449187893E-01 a       307     0    16     1     7
  2.2960573093126255E-01 a       308     0    16     1     8
 -1.5959389618868403E-01 a       309     0    16     1     9
 -2.1624587909977547E-01 a       310     0    16     1    10
  2.6215438713967676E-01 a       311     0    16     1    11
  1.7024134599908874E-01 a       312     0    16     1    12
  1.7442848108534199E-02 a       313     0    16     1    13
  2.3545422736678234E-01 a       314     0    16     1    14
 -1.7932651413982106E-01 a       315     0    16     1    15
 -4.2899769986720009E-02 a       316     0    16     1    16
 -5.2328109603301490E-02 a       317     0    16     1    17
  3.7031494798205174E-02 a       318     0    16     1    18
 -1.4751063168937878E-01 a       319     0    16     1    19
  9.7950241274418606E-02 a       320     0    16     1    20
  1.0093760717146091E-01 a       321     0    17     1     1
 -3.2049436037970124E-03 a       322     0    17     1     2
 -2.0003520133484010E-01 a       323     0    17     1     3
 -3.6457165955151749E-02 a       324     0    17     1     4
 -2.4137652485336536E-01 a       325     0    17     1     5
  1.3029018216702368E-01 a       326     0    17     1     6
 -1.9047057067189352E-01 a       327     0    17     1     7
  2.4451507119572669E-01 a       328     0    17     1     8
  1.2654405847835506E-01 a       329     0    17     1     9
 -1.5107557505220161E-02 a       330     0    17     1    10
 -5.2865969316483942E-02 a       331     0    17     1    11
  1.7332950862862614E-01 a       332     0    17     1    12
 -2.3820956254688955E-02 a       333     0    17     1    13
 -1.7603062100421360E-01 a       334     0    17     1    14
 -2.0623437032130590E-01 a       335     0    17     1    15
  3.6651285413977119E-01 a       336     0    17     1    16
  2.3827344147083085E-01 a       337     0    17     1    17
 -2.1249569611547611E-01 a       338     0    17     1    18
 -2.8664215815325085E-02 a       339     0    17     1    19
 -3.0049834915227541E-01 a       340     0    17     1    20
 -2.9298122670762372E-01 a       341     0    18     1     1
  2.6097207343022732E-02 a       342     0    18     1     2
 -2.3659777434128615E-01 a       343     0    18     1     3
 -8.6049509042920733E-02 a       344     0    18     1     4
 -4.8988984826729809E-02 a       345     0    18     1     5
 -9.0528567938195734E-02 a       346     0    18     1     6
  2.2469581681588241E-01 a       347     0    18     1     7
 -2.1082379431224368E-01 a       348     0    18     1     8
 -3.5789777023121638E-02 a       349     0    18     1     9
 -5.8627921697839577E-02 a       350     0    18     1    10
 -1.6064202159489230E-01 a       351     0    18     1    11
  8.7112609533685409E-02 a       352     0    18     1    12
  1.5714018486127806E-01 a       353     0    18     1    13
 -1.5766393928323261E-01 a       354     0    18     1    14
 -1.3936214557074644E-01 a       355     0    18     1    15
  4.8622258562942680E-02 a       356     0    18     1    16
 -1.7255747286671877E-01 a       357     0    18     1    17
  4.0809395803514031E-01 a       358     0    18     1    18
  1.0802531246490929E-01 a       359     0    18     1    19
 -3.1513416750401657E-01 a       360     0    18     1    20
  7.6321942966866146E-02 a       361     0    19     1     1
 -1.2846828496300142E-01 a       362     0    19     1     2
  2.2742752293254567E-01 a       363     0    19     1     3
 -3.1315784778417344E-02 a       364     0    19     1     4
  1.0654904232026319E-01 a       365     0    19     1     5
 -9.8093851536047674E-02 a       366     0    19     1     6
 -6.7914994538172943E-02 a       367     0    19     1     7
 -9.7938137191412339E-02 a       368     0    19     1     8
 -1.8665625244968756E-01 a       369     0    19     1     9
 -2.0386869550078851E-01 a       370     0    19     1    10
 -1.7825819092322837E-01 a       371     0    19     1    11
 -1.9942907754353795E-01 a       372     0    19     1    12
 -2.5648314863116140E-02 a       373     0    19     1    13
  1.5744178487130771E-02 a       374     0    19     1    14
  1.4069978010973672E-01 a       375     0    19     1    15
 -5.3054753245827757E-01 a       376     0    19     1    16
 -1.1699672569675369E-01 a       377     0    19     1    17
  1.2942970431519762E-01 a       378     0    19     1    18
  3.2359342901877486E-01 a       379     0    19     1    19
  2.4189606674660463E-01 a       380     0    19     1    20
  5.1975380310929264E-01 a       381     0    20     1     1
  3.4995973630503480E-01 a       382     0    20     1     2
  1.0152437139007482E-01 a       383     0    20     1     3
  1.1334030064890785E-01 a       384     0    20     1     4
  4.1344887429882360E-01 a       385     0    20     1     5
 -1.0361679347156860E-01 a       386     0    20     1     6
 -3.4064146058408978E-01 a       387     0    20     1     7
  1.7702145238556519E-01 a       388     0    20     1     8
 -1.6468302316380756E-01 a       389     0    20     1     9
  3.8553835656397778E-01 a       390     0    20     1    10
  4.9386167760730609E-01 a       391     0    20     1    11
  5.2325925001251487E-02 a       392     0    20     1    12
 -7.4430112462217602E-03 a       393     0    20     1    13
  5.9380326180951659E-01 a       394     0    20     1    14
  7.0309539783396074E-02 a       395     0    20     1    15
 -3.1266083884949036E-01 a       396     0    20     1    16
  4.0768591831397311E-01 a       397     0    20     1    17
 -6.2291007588774661E-01 a       398     0    20     1    18
 -8.9083848920883901E-01 a       399     0    20     1    19
  8.4197323585473172E-01 a       400     0    20     1    20
 -2.1718743108075836E-01 a       401     0    21     1     1
 -1.6014577836311963E-01 a       402     0    21     1     2
 -2.7026206231115951E-01 a       403     0    21     1     3
 -1.6087762418942655E-01 a       404     0    21     1     4
  3.7013025064824634E-01 a       405     0    21     1     5
 -9.3906764004928100E-01 a       406     0    21     1     6
 -9.0381388162948617E-01 a       407     0    21     1     7
 -9.3582616114586917E-02 a       408     0    21     1     8
  4.0014048029038857E-01 a       409     0    21     1     9
 -2.7962925878834805E-01 a       410     0    21     1    10
 -1.5693499325486746E-01 a       411     0    21     1    11
  2.7805621821912968E-01 a       412     0    21     1    12
 -5.5748731881126312E-01 a       413     0    21     1    13
 -3.9149669818482508E-01 a       414     0    21     1    14
 -6.7452988305294315E-01 a       415     0    21     1    15
  8.1066144509820373E-02 a       416     0    21     1    16
  4.9767674348762797E-01 a       417     0    21     1    17
 -3.1083160100755647E-01 a       418     0    21     1    18
 -2.3506750265944426E-01 a       419     0    21     1    19
 -2.4064839339888436E-01 a       420     0    21     1    20
  6.8350136233903180E-01 a       421     0    22     1     1
 -9.3542740570416866E-02 a       422     0    22     1     2
 -1.4597899593576553E-02 a       423     0    22     1     3
  2.1395210252692551E-01 a       424     0    22     1     4
 -4.2959703022478085E-01 a       425     0    22     1     5
  5.5875127529428714E-01 a       426     0    22     1     6
  3.5503690675253979E-01 a       427     0    22     1     7
  8.1529181398688200E-02 a       428     0    22     1     8
 -7.4041071754296450E-01 a       429     0    22     1     9
  1.8348196169426040E-01 a       430     0    22     1    10
 -3.3394288573829178E-01 a       431     0    22     1    11
  1.1308908536505982E-01 a       432     0    22     1    12
  4.1154656259084549E-01 a       433     0    22     1    13
 -5.8509058665841426E-02 a       434     0    22     1    14
  6.4633438780584640E-01 a       435     0    22     1    15
  6.0625131203801301E-02 a       436     0    22     1    16
 -1.0867786261453884E-02 a       437     0    22     1    17
 -1.1120764286005738E-01 a       438     0    22     1    18
 -1.0938052438096073E-01 a       439     0    22     1    19
  7.8004870530543793E-02 a       440     0    22     1    20
 -3.0843432996364793E-02 a       441     0    23     1     1
 -1.5020446441730428E-01 a       442     0    23     1     2
  1.9833517428128486E-01 a       443     0    23     1     3
  4.4330557347803910E-03 a       444     0    23     1     4
 -3.2446439037505365E-01 a       445     0    23     1     5
  2.7828660221723339E-01 a       446     0    23     1     6
  6.1919315831124644E-01 a       447     0    23     1     7
  2.3749595928357060E-02 a       448     0    23     1     8
 -1.7011335832331696E-02 a       449     0    23     1     9
  3.8554255395634718E-01 a       450     0    23     1    10
 -7.6023787965229586E-02 a       451     0    23     1    11
 -3.3485359982720264E-01 a       452     0    23     1    12
  3.6669869276298989E-01 a       453     0    23     1    13
 -1.8759770786525662E-01 a       454     0    23     1    14
  5.7797274747223415E-01 a       455     0    23     1    15
 -2.4098221529084968E-01 a       456     0    23     1    16
 -5.0072039491802489E-01 a       457     0    23     1    17
  3.8273533610518068E-01 a       458     0    23     1    18
  7.1604311425855072E-01 a       459     0    23     1    19
 -1.5348762545264169E-01 a       460     0    23     1    20
  1.2612234840118397E-01 a       461     0    24     1     1
 -4.0041779084664286E-01 a       462     0    24     1     2
  2.1186217266861970E-01 a       463     0    24     1     3
  7.3854039023789675E-02 a       464     0    24     1     4
 -1.8366955352645217E-01 a       465     0    24     1     5
  1.1614956541112248E-01 a       466     0    24     1     6
 -1.2349695528576037E-01 a       467     0    24     1     7
  1.3429180506564561E-01 a       468     0    24     1     8
  1.7106230210633994E-01 a       469     0    24     1     9
 -5.6905509248835429E-01 a       470     0    24     1    10
  5.2197655290364818E-02 a       471     0    24     1    11
 -8.7017180434004415E-02 a       472     0    24     1    12
 -1.9972231375605579E-01 a       473     0    24     1    13
 -8.8367672556055564E-03 a       474     0    24     1    14
 -4.6577275727122801E-02 a       475     0    24     1    15
  3.3089171404608336E-01 a       476     0    24     1    16
  1.4641651432447769E-01 a       477     0    24     1    17
 -3.2180184571125464E-01 a       478     0    24     1    18
 -6.6479289686143098E-02 a       479     0    24     1    19
  4.3613046634036090E-02 a       480     0    24     1    20
 -2.3324600576635110E-01 a       481     0    25     1     1
  4.3309213171888733E-01 a       482     0    25     1     2
 -2.7454237491974853E-02 a       483     0    25     1     3
 -2.1573780111477903E-01 a       484     0    25     1     4
  2.5982652646362275E-01 a       485     0    25     1     5
 -8.1734117431806474E-02 a       486     0    25     1     6
  4.0134826311357574E-01 a       487     0    25     1     7
 -5.9732237808955868E-02 a       488     0    25     1     8
  1.1473821101587491E-01 a       489     0    25     1     9
  1.3209540951992627E-01 a       490     0    25     1    10
  3.0606180356995982E-01 a       491     0    25     1    11
 -2.0737088885578900E-01 a       492     0    25     1    12
  1.8587249149614796E-01 a       493     0    25     1    13
  4.6661515877705650E-01 a       494     0    25     1    14
  4.5105483979804878E-01 a       495     0    25     1    15
 -2.7187488205308641E-01 a       496     0    25     1    16
 -2.9775510061727262E-01 a       497     0    25     1    17
  2.1782210686910530E-01 a       498     0    25     1    18
 -1.2060076591543656E-02 a       499     0    25     1    19
 -5.8697400958573627E-02 a       500     0    25     1    20
 -1.0516573092781417E-01 a       501     0    26     1     1
 -7.9336409967454793E-02 a       502     0    26     1     2
